*Hardness measurements were converted to stress measurements by dividing the hardness by 3					
"**LYS = lower yield stress, no strain given for hardness measurements"					
"***TT = tension test, CT = compression test, NH = nanoindentation, VH = Vickers hardness, MDBT = miniaturized disk bend test"					
					
					
element	grain size (µm)	flow stress (MPa)*	plastic strain**	test method***	reference
Fe	457	75	LYS	TT	42
Fe	467	70	LYS	TT	42
Fe	260	84	LYS	TT	42
Fe	244	82	LYS	TT	42
Fe	170	89	LYS	TT	42
Fe	179	85	LYS	TT	42
Fe	34	152	LYS	TT	42
Fe	32	157	LYS	TT	42
Fe	31	160	LYS	TT	42
Fe	30	163	LYS	TT	42
Fe	29	162	LYS	TT	42
Fe	28	166	LYS	TT	42
Fe	181	115	LYS	TT	43
Fe	156	104	LYS	TT	43
Fe	123	115	LYS	TT	43
Fe	100	129	LYS	TT	43
Fe	78	126	LYS	TT	43
Fe	66	138	LYS	TT	43
Fe	44	152	LYS	TT	43
Fe	33	170	LYS	TT	43
Fe	27	183	LYS	TT	43
Fe	26	183	LYS	TT	43
Fe	24	183	LYS	TT	43
Fe	16	218	LYS	TT	43
Fe	16	223	LYS	TT	43
Fe	15	223	LYS	TT	43
Fe	701	108	LYS	TT	44
Fe	459	107	LYS	TT	44
Fe	445	110	LYS	TT	44
Fe	246	119	LYS	TT	44
Fe	247	122	LYS	TT	44
Fe	220	117	LYS	TT	44
Fe	133	132	LYS	TT	44
Fe	106	135	LYS	TT	44
Fe	94	145	LYS	TT	44
Fe	90	144	LYS	TT	44
Fe	83	144	LYS	TT	44
Fe	59	158	LYS	TT	44
Fe	42	173	LYS	TT	44
Fe	42	176	LYS	TT	44
Fe	36	185	LYS	TT	44
Fe	34	185	LYS	TT	44
Fe	32	185	LYS	TT	44
Fe	30	190	LYS	TT	44
Fe	30	192	LYS	TT	44
Fe	24	205	LYS	TT	44
Fe	21	213	LYS	TT	44
Fe	21	215	LYS	TT	44
Fe	17	231	LYS	TT	44
Fe	17	235	LYS	TT	44
Fe	16	237	LYS	TT	44
Fe	96	107	LYS	TT	45
Fe	66	134	LYS	TT	45
Fe	43	161	LYS	TT	45
Fe	11	250	LYS	TT	45
Fe	6	341	LYS	TT	45
Fe	402	51	LYS	TT	40
Fe	422	53	LYS	TT	40
Fe	383	55	LYS	TT	40
Fe	140	77	LYS	TT	40
Fe	120	79	LYS	TT	40
Fe	128	82	LYS	TT	40
Fe	21	105	LYS	TT	40
Fe	19	104	LYS	TT	40
Fe	25	139	LYS	TT	38
Fe	200	61	LYS	TT	38
Fe	2000	39	LYS	TT	38
Fe	3	706	-	VH	46
Fe	0.06	1413	-	VH	46
Fe	0.029	1906	-	VH	46
Fe	0.012	2093	-	VH	46
Fe	0.01	2397	-	VH	46
Fe	0.009	2606	-	VH	46
Fe	0.009	2871	-	VH	46
Fe	0.008	2933	-	VH	46
Fe	0.007	3051	-	VH	46
Fe	0.007	3205	-	VH	46
Fe	0.006	3348	-	VH	46
Fe	0.035	1887	-	VH	47
Fe	0.03	2090	-	VH	47
Fe	0.031	2126	-	VH	47
Fe	0.026	2186	-	VH	47
Fe	0.023	2125	-	VH	47
Fe	0.029	2246	-	VH	47
Fe	0.024	2341	-	VH	47
Fe	0.024	2317	-	VH	47
Fe	0.023	2257	-	VH	47
Fe	0.026	2437	-	VH	47
Fe	0.017	2340	-	VH	47
Fe	0.015	2436	-	VH	47
Fe	0.014	2507	-	VH	47
Fe	0.018	2496	-	VH	47
Fe	0.018	2532	-	VH	47
Fe	0.016	2591	-	VH	47
Fe	0.02	2544	-	VH	47
Fe	0.02	2616	-	VH	47
Fe	0.017	2663	-	VH	47
Fe	0.008	2481	-	VH	47
Fe	0.009	2733	-	VH	47
Fe	0.008	2732	-	VH	47
Fe	0.043	1635	-	NH	48
Fe	0.04	1704	-	NH	48
Fe	0.024	2862	-	NH	48
Fe	0.02	2971	-	NH	48
Fe	0.019	2971	-	NH	48
Fe	0.018	3325	-	NH	48
Fe	0.012	3325	-	NH	48
Fe	0.011	2753	-	NH	48
Fe	26	750	-	NH	48
Fe	8	277	LYS	TT	55
Fe	16	209	LYS	TT	55
Fe	37	165	LYS	TT	55
Fe	70	142	LYS	TT	55
Fe	105	132	LYS	TT	55
Fe	110	130	LYS	TT	55
Fe	280	103	LYS	TT	55
Fe	181	105	LYS	TT	49
Fe	84	137	LYS	TT	49
Fe	52	156	LYS	TT	49
Fe	33	182	LYS	TT	49
Fe	22	198	LYS	TT	49
Fe	18	220	LYS	TT	49
Fe	95	104	LYS	TT	41
Fe	65	118	LYS	TT	41
Fe	40	128	LYS	TT	41
Fe	22	149	LYS	TT	41
Fe	380	96	LYS	TT	50
Fe	115	122	LYS	TT	50
Fe	96	149	LYS	TT	50
Fe	79	157	LYS	TT	50
Fe	62	165	LYS	TT	50
Fe	65	177	LYS	TT	50
Fe	49	195	LYS	TT	50
Fe	48	205	LYS	TT	50
Fe	49	208	LYS	TT	50
Fe	49	214	LYS	TT	50
Fe	45	212	LYS	TT	50
Fe	45	208	LYS	TT	50
Fe	34	198	LYS	TT	50
Fe	29	200	LYS	TT	50
Fe	29	217	LYS	TT	50
