FORMULA,PROPERTY: BCC/FCC/other,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
Al0.25 Co1 Fe1 Ni1,FCC,13.0,28.0,15.0,25.923076923076923,1.9881656804733725,26.0,55.0,73.0,18.0,59.15384615384615,3.2662721893491122,55.0,26.9815386,58.933195,31.951656399999997,55.45137835384615,4.379975346745561,55.845,933.47,1811.0,877.53,1704.7284615384617,118.65514792899393,1728.0,8.0,13.0,5.0,9.307692307692308,0.9940828402366866,8.0,3.0,4.0,1.0,3.923076923076923,0.14201183431952677,4.0,121.0,132.0,11.0,126.84615384615384,3.171597633136092,124.0,1.61,1.91,0.2999999999999998,1.853076923076923,0.05159763313609459,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.07692307692307693,0.14201183431952663,0.0,0.0,8.0,8.0,6.461538461538462,1.2781065088757395,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,8.538461538461538,1.183431952662722,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.38461538461538464,0.7100591715976331,0.0,0.0,4.0,4.0,2.769230769230769,0.8994082840236687,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.1538461538461537,0.8047337278106509,2.0,10.245,16.48,6.235000000000001,10.896923076923077,0.8589349112426036,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,1.3090857538461538,0.6405923029585799,0.5953947,194.0,229.0,35.0,216.69230769230768,13.964497041420124,194.0
Al0.5 Co1 Fe1 Ni1,other,13.0,28.0,15.0,25.0,3.4285714285714284,26.0,55.0,73.0,18.0,60.142857142857146,4.163265306122449,55.0,26.9815386,58.933195,31.951656399999997,53.41781837142857,7.5532227918367365,55.845,933.47,1811.0,877.53,1649.6385714285716,204.61959183673457,1728.0,8.0,13.0,5.0,9.571428571428571,1.2244897959183674,8.0,3.0,4.0,1.0,3.857142857142857,0.24489795918367344,4.0,121.0,132.0,11.0,126.42857142857143,3.183673469387756,124.0,1.61,1.91,0.2999999999999998,1.8357142857142859,0.06775510204081622,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.14285714285714285,0.24489795918367344,0.0,0.0,8.0,8.0,6.0,1.7142857142857142,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,8.142857142857142,1.5510204081632655,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.7142857142857143,1.2244897959183674,0.0,0.0,4.0,4.0,2.5714285714285716,1.0612244897959182,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2857142857142856,0.8979591836734694,2.0,10.245,16.48,6.235000000000001,11.295714285714284,1.4812244897959175,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,1.2155796285714284,0.7016998530612245,0.5953947,194.0,229.0,35.0,217.28571428571428,13.306122448979595,194.0
Al0.75 Co1 Fe1 Ni1,other,13.0,28.0,15.0,24.2,4.48,26.0,55.0,73.0,18.0,61.0,4.8,55.0,26.9815386,58.933195,31.951656399999997,51.65539972,9.869544448,55.845,933.47,1811.0,877.53,1601.894,267.3696,1728.0,8.0,13.0,5.0,9.8,1.3866666666666667,8.0,3.0,4.0,1.0,3.8,0.3200000000000001,4.0,121.0,132.0,11.0,126.06666666666666,3.1644444444444426,124.0,1.61,1.91,0.2999999999999998,1.8206666666666669,0.08426666666666649,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,8.0,8.0,5.6,2.24,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.8,1.9200000000000002,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,4.0,4.0,2.4,1.1733333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.4,0.9600000000000001,2.0,10.245,16.48,6.235000000000001,11.641333333333332,1.935466666666666,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,1.1345409866666667,0.741361080888889,0.5953947,194.0,229.0,35.0,217.8,12.693333333333328,194.0
Al1 Co1 Fe1 Ni1,BCC,13.0,28.0,15.0,23.5,5.25,13.0,55.0,73.0,18.0,61.75,5.625,55.0,26.9815386,58.933195,31.951656399999997,50.1132834,11.565872399999998,26.9815386,933.47,1811.0,877.53,1560.1175,313.32374999999996,933.47,8.0,13.0,5.0,10.0,1.5,8.0,3.0,4.0,1.0,3.75,0.375,3.0,121.0,132.0,11.0,125.75,3.25,121.0,1.61,1.91,0.2999999999999998,1.8075,0.0987499999999999,1.61,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,8.0,8.0,5.25,2.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.5,2.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,4.0,4.0,2.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.5,1.0,2.0,10.245,16.48,6.235000000000001,11.94375,2.268125,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,1.063632175,0.7659348250000001,0.0,194.0,229.0,35.0,218.25,12.125,194.0
Co1 Fe1 Ni1,FCC,26.0,28.0,2.0,27.0,0.6666666666666666,26.0,55.0,61.0,6.0,58.0,2.0,55.0,55.845,58.933195,3.088194999999999,57.82386499999999,1.319243333333335,55.845,1728.0,1811.0,83.0,1769.0,28.0,1728.0,8.0,10.0,2.0,9.0,0.6666666666666666,8.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,132.0,8.0,127.33333333333333,3.1111111111111094,124.0,1.83,1.91,0.07999999999999985,1.8733333333333333,0.028888888888888815,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,7.0,0.6666666666666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,2.0,9.0,0.6666666666666666,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,0.6666666666666666,2.0,10.245,10.73,0.4850000000000012,10.431666666666667,0.1988888888888892,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,2.1106628,1.5152681000000001,1.4181762333333332,0.5485210222222223,0.5953947,194.0,229.0,35.0,216.0,14.666666666666666,194.0
Co1 Fe1 Ni1,FCC,26.0,28.0,2.0,27.0,0.6666666666666666,26.0,55.0,61.0,6.0,58.0,2.0,55.0,55.845,58.933195,3.088194999999999,57.82386499999999,1.319243333333335,55.845,1728.0,1811.0,83.0,1769.0,28.0,1728.0,8.0,10.0,2.0,9.0,0.6666666666666666,8.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,132.0,8.0,127.33333333333333,3.1111111111111094,124.0,1.83,1.91,0.07999999999999985,1.8733333333333333,0.028888888888888815,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,7.0,0.6666666666666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,2.0,9.0,0.6666666666666666,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,0.6666666666666666,2.0,10.245,10.73,0.4850000000000012,10.431666666666667,0.1988888888888892,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,2.1106628,1.5152681000000001,1.4181762333333332,0.5485210222222223,0.5953947,194.0,229.0,35.0,216.0,14.666666666666666,194.0
Co1 Fe1 Ni1 Si0.25,FCC,14.0,28.0,14.0,26.0,1.8461538461538463,26.0,55.0,78.0,23.0,59.53846153846154,3.7396449704142016,55.0,28.0855,58.933195,30.847694999999998,55.53629846153846,4.223199763313611,55.845,1687.0,1811.0,124.0,1762.6923076923076,32.9940828402367,1728.0,8.0,14.0,6.0,9.384615384615385,1.0887573964497042,8.0,3.0,4.0,1.0,3.923076923076923,0.14201183431952677,4.0,111.0,132.0,21.0,126.07692307692308,3.6449704142011847,124.0,1.83,1.91,0.07999999999999985,1.8753846153846152,0.02792899408284022,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.15384615384615385,0.28402366863905326,0.0,0.0,8.0,8.0,6.461538461538462,1.2781065088757395,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,8.615384615384615,1.0887573964497042,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.3076923076923077,0.5680473372781065,0.0,0.0,4.0,4.0,2.769230769230769,0.8994082840236687,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.076923076923077,0.7100591715976332,2.0,10.245,20.44,10.195000000000002,11.201538461538462,1.4213017751479293,10.245,0.0,0.773,0.773,0.05946153846153846,0.1097751479289941,0.0,0.0,2.1106628,2.1106628,1.3090857538461538,0.6405923029585799,0.5953947,194.0,229.0,35.0,216.84615384615384,14.059171597633139,194.0
Co1 Fe1 Ni1 Si0.5,other,14.0,28.0,14.0,25.142857142857142,3.1836734693877555,26.0,55.0,78.0,23.0,60.857142857142854,4.979591836734693,55.0,28.0855,58.933195,30.847694999999998,53.57552714285714,7.282864897959184,55.845,1687.0,1811.0,124.0,1757.2857142857142,36.81632653061225,1728.0,8.0,14.0,6.0,9.714285714285714,1.3877551020408163,8.0,3.0,4.0,1.0,3.857142857142857,0.24489795918367344,4.0,111.0,132.0,21.0,125.0,4.571428571428571,124.0,1.83,1.91,0.07999999999999985,1.8771428571428572,0.02693877551020396,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.2857142857142857,0.489795918367347,0.0,0.0,8.0,8.0,6.0,1.7142857142857142,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,8.285714285714286,1.3877551020408163,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.5714285714285714,0.979591836734694,0.0,0.0,4.0,4.0,2.5714285714285716,1.0612244897959184,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.142857142857143,0.7346938775510203,2.0,10.245,20.44,10.195000000000002,11.861428571428572,2.451020408163266,10.245,0.0,0.773,0.773,0.11042857142857143,0.1893061224489796,0.0,0.0,2.1106628,2.1106628,1.2155796285714284,0.7016998530612246,0.5953947,194.0,229.0,35.0,217.57142857142858,13.469387755102035,194.0
Co1 Fe1 Ni1 Si0.75,other,14.0,28.0,14.0,24.4,4.160000000000001,26.0,55.0,78.0,23.0,62.0,6.4,55.0,28.0855,58.933195,30.847694999999998,51.87619199999999,9.516276800000005,55.845,1687.0,1811.0,124.0,1752.6,39.36000000000001,1728.0,8.0,14.0,6.0,10.0,1.6,8.0,3.0,4.0,1.0,3.8,0.3200000000000001,4.0,111.0,132.0,21.0,124.06666666666666,5.262222222222222,124.0,1.83,1.91,0.07999999999999985,1.8786666666666667,0.02595555555555545,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.4,0.6400000000000001,0.0,0.0,8.0,8.0,5.6,2.24,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,8.0,1.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.8,1.2800000000000002,0.0,0.0,4.0,4.0,2.4,1.1733333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.2,0.7466666666666666,2.0,10.245,20.44,10.195000000000002,12.433333333333334,3.202666666666667,10.245,0.0,0.773,0.773,0.1546,0.24736,0.0,0.0,2.1106628,2.1106628,1.1345409866666667,0.741361080888889,0.5953947,194.0,229.0,35.0,218.2,12.906666666666672,194.0
Co1 Cr1 Fe1 Ni1,FCC,24.0,28.0,4.0,26.25,1.25,24.0,49.0,61.0,12.0,55.75,3.75,49.0,51.9961,58.933195,6.937094999999999,56.36692375,2.4463737499999993,51.9961,1728.0,2180.0,452.0,1871.75,154.125,1728.0,6.0,10.0,4.0,8.25,1.25,6.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,139.0,15.0,130.25,5.25,124.0,1.66,1.91,0.25,1.82,0.07999999999999996,1.66,1.0,2.0,1.0,1.75,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.5,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,4.0,8.25,1.25,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,3.75,1.25,2.0,10.245,11.19,0.9450000000000003,10.62125,0.3387500000000001,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,1.063632175,0.7659348250000001,0.0,194.0,229.0,35.0,219.25,12.625,194.0
