Number of Data Points = 400
         
File	hc(nm)	Pmax(µN)	S(µN/nm)	A(nm^2)	hmax(nm)	heff(nm)	Er(GPa)	H(GPa)	A	hf(nm)	m	X(mm)	Y(mm)	Drift(nm/s)
HSS_BW_3mN_map01 LC.hys	81.332352	2991.716531	120.970639	292725.493706	264.476394	99.880550	198.100024	10.220212	18.735905	64.655301	1.424340	76.047477	-14.784658	0.000000
HSS_BW_3mN_map01 LC.hys	81.251237	2991.649760	123.342309	292305.055694	264.476394	99.442378	202.129053	10.234684	34.150157	67.984447	1.296975	76.048777	-14.784658	0.000000
HSS_BW_3mN_map01 LC.hys	72.465900	2991.648915	131.268218	248473.496266	264.476394	89.558664	233.321298	12.040113	25.432215	58.063195	1.381965	76.050077	-14.784658	0.000000
HSS_BW_3mN_map01 LC.hys	80.319547	2991.611805	125.623522	287496.551072	264.476394	98.180126	207.581897	10.405731	16.251217	63.232184	1.467531	76.051377	-14.784658	0.000000
HSS_BW_3mN_map01 LC.hys	81.027901	2991.708939	121.196073	291148.935308	264.476394	99.541551	199.005817	10.275528	34.158863	67.653235	1.291816	76.052677	-14.784658	0.000000
HSS_BW_3mN_map01 LC.hys	81.909183	2991.714210	122.428390	295723.692166	264.476394	100.236514	199.468309	10.116586	25.280094	66.955523	1.361941	76.053977	-14.784658	0.000000
HSS_BW_3mN_map01 LC.hys	82.001834	2991.683558	124.005554	296206.627127	264.476394	100.095884	201.873159	10.099989	31.414691	68.315638	1.317294	76.055277	-14.784658	0.000000
HSS_BW_3mN_map01 LC.hys	80.280237	2991.677937	123.598525	287294.506551	264.476394	98.433839	204.307569	10.413279	27.618843	65.875516	1.345118	76.056577	-14.784658	0.000000
HSS_BW_3mN_map01 LC.hys	43.208286	2991.612274	93.045758	126537.971711	264.476394	67.322327	231.750656	23.642012	27.391431	26.610224	1.266236	76.057877	-14.784658	0.000000
HSS_BW_3mN_map01 LC.hys	98.257337	2991.664939	113.809978	386788.461170	264.476394	117.972206	162.135611	7.734628	22.212418	81.999645	1.368481	76.059177	-14.784658	0.000000
HSS_BW_3mN_map01 LC.hys	48.339092	2991.625332	105.662179	145292.052981	264.476394	69.573927	245.602884	20.590426	28.533230	32.981520	1.292419	76.060477	-14.784658	0.000000
HSS_BW_3mN_map01 LC.hys	80.945635	2991.638966	126.550842	290723.627372	264.476394	98.675499	207.950372	10.290319	21.735149	65.445945	1.405660	76.061777	-14.784658	0.000000
HSS_BW_3mN_map01 LC.hys	80.736249	2991.594372	122.766779	289642.467046	264.476394	99.012332	202.108497	10.328576	29.285027	66.601977	1.330032	76.063077	-14.784658	0.000000
