element,grain_size_um,flow_stress_MPa,plastic_strain,test_method,reference
Fe,457.0,75.0,LYS,TT,42
Fe,467.0,70.0,LYS,TT,42
Fe,260.0,84.0,LYS,TT,42
Fe,244.0,82.0,LYS,TT,42
Fe,170.0,89.0,LYS,TT,42
Fe,179.0,85.0,LYS,TT,42
Fe,34.0,152.0,LYS,TT,42
Fe,32.0,157.0,LYS,TT,42
Fe,31.0,160.0,LYS,TT,42
Fe,30.0,163.0,LYS,TT,42
Fe,29.0,162.0,LYS,TT,42
Fe,28.0,166.0,LYS,TT,42
Fe,181.0,115.0,LYS,TT,43
Fe,156.0,104.0,LYS,TT,43
Fe,123.0,115.0,LYS,TT,43
Fe,100.0,129.0,LYS,TT,43
Fe,78.0,126.0,LYS,TT,43
Fe,66.0,138.0,LYS,TT,43
Fe,44.0,152.0,LYS,TT,43
Fe,33.0,170.0,LYS,TT,43
Fe,27.0,183.0,LYS,TT,43
Fe,26.0,183.0,LYS,TT,43
Fe,24.0,183.0,LYS,TT,43
Fe,16.0,218.0,LYS,TT,43
Fe,16.0,223.0,LYS,TT,43
Fe,15.0,223.0,LYS,TT,43
Fe,701.0,108.0,LYS,TT,44
Fe,459.0,107.0,LYS,TT,44
Fe,445.0,110.0,LYS,TT,44
Fe,246.0,119.0,LYS,TT,44
Fe,247.0,122.0,LYS,TT,44
Fe,220.0,117.0,LYS,TT,44
Fe,133.0,132.0,LYS,TT,44
Fe,106.0,135.0,LYS,TT,44
Fe,94.0,145.0,LYS,TT,44
Fe,90.0,144.0,LYS,TT,44
Fe,83.0,144.0,LYS,TT,44
Fe,59.0,158.0,LYS,TT,44
Fe,42.0,173.0,LYS,TT,44
Fe,42.0,176.0,LYS,TT,44
Fe,36.0,185.0,LYS,TT,44
Fe,34.0,185.0,LYS,TT,44
Fe,32.0,185.0,LYS,TT,44
Fe,30.0,190.0,LYS,TT,44
Fe,30.0,192.0,LYS,TT,44
Fe,24.0,205.0,LYS,TT,44
Fe,21.0,213.0,LYS,TT,44
Fe,21.0,215.0,LYS,TT,44
Fe,17.0,231.0,LYS,TT,44
Fe,17.0,235.0,LYS,TT,44
Fe,16.0,237.0,LYS,TT,44
Fe,96.0,107.0,LYS,TT,45
Fe,66.0,134.0,LYS,TT,45
Fe,43.0,161.0,LYS,TT,45
Fe,11.0,250.0,LYS,TT,45
Fe,6.0,341.0,LYS,TT,45
Fe,402.0,51.0,LYS,TT,40
Fe,422.0,53.0,LYS,TT,40
Fe,383.0,55.0,LYS,TT,40
Fe,140.0,77.0,LYS,TT,40
Fe,120.0,79.0,LYS,TT,40
Fe,128.0,82.0,LYS,TT,40
Fe,21.0,105.0,LYS,TT,40
Fe,19.0,104.0,LYS,TT,40
Fe,25.0,139.0,LYS,TT,38
Fe,200.0,61.0,LYS,TT,38
Fe,2000.0,39.0,LYS,TT,38
Fe,3.0,706.0,-,VH,46
Fe,0.06,1413.0,-,VH,46
Fe,0.029,1906.0,-,VH,46
Fe,0.012,2093.0,-,VH,46
Fe,0.01,2397.0,-,VH,46
Fe,0.009,2606.0,-,VH,46
Fe,0.009,2871.0,-,VH,46
Fe,0.008,2933.0,-,VH,46
Fe,0.007,3051.0,-,VH,46
Fe,0.007,3205.0,-,VH,46
Fe,0.006,3348.0,-,VH,46
Fe,0.035,1887.0,-,VH,47
Fe,0.03,2090.0,-,VH,47
Fe,0.031,2126.0,-,VH,47
Fe,0.026,2186.0,-,VH,47
Fe,0.023,2125.0,-,VH,47
Fe,0.029,2246.0,-,VH,47
Fe,0.024,2341.0,-,VH,47
Fe,0.024,2317.0,-,VH,47
Fe,0.023,2257.0,-,VH,47
Fe,0.026,2437.0,-,VH,47
Fe,0.017,2340.0,-,VH,47
Fe,0.015,2436.0,-,VH,47
Fe,0.014,2507.0,-,VH,47
Fe,0.018,2496.0,-,VH,47
Fe,0.018,2532.0,-,VH,47
Fe,0.016,2591.0,-,VH,47
Fe,0.02,2544.0,-,VH,47
Fe,0.02,2616.0,-,VH,47
Fe,0.017,2663.0,-,VH,47
Fe,0.008,2481.0,-,VH,47
Fe,0.009,2733.0,-,VH,47
Fe,0.008,2732.0,-,VH,47
Fe,0.043,1635.0,-,NH,48
Fe,0.04,1704.0,-,NH,48
Fe,0.024,2862.0,-,NH,48
Fe,0.02,2971.0,-,NH,48
Fe,0.019,2971.0,-,NH,48
Fe,0.018,3325.0,-,NH,48
Fe,0.012,3325.0,-,NH,48
Fe,0.011,2753.0,-,NH,48
Fe,26.0,750.0,-,NH,48
Fe,8.0,277.0,LYS,TT,55
Fe,16.0,209.0,LYS,TT,55
Fe,37.0,165.0,LYS,TT,55
Fe,70.0,142.0,LYS,TT,55
Fe,105.0,132.0,LYS,TT,55
Fe,110.0,130.0,LYS,TT,55
Fe,280.0,103.0,LYS,TT,55
Fe,181.0,105.0,LYS,TT,49
Fe,84.0,137.0,LYS,TT,49
Fe,52.0,156.0,LYS,TT,49
Fe,33.0,182.0,LYS,TT,49
Fe,22.0,198.0,LYS,TT,49
Fe,18.0,220.0,LYS,TT,49
Fe,95.0,104.0,LYS,TT,41
Fe,65.0,118.0,LYS,TT,41
Fe,40.0,128.0,LYS,TT,41
Fe,22.0,149.0,LYS,TT,41
Fe,380.0,96.0,LYS,TT,50
Fe,115.0,122.0,LYS,TT,50
Fe,96.0,149.0,LYS,TT,50
Fe,79.0,157.0,LYS,TT,50
Fe,62.0,165.0,LYS,TT,50
Fe,65.0,177.0,LYS,TT,50
Fe,49.0,195.0,LYS,TT,50
Fe,48.0,205.0,LYS,TT,50
Fe,49.0,208.0,LYS,TT,50
Fe,49.0,214.0,LYS,TT,50
Fe,45.0,212.0,LYS,TT,50
Fe,45.0,208.0,LYS,TT,50
Fe,34.0,198.0,LYS,TT,50
Fe,29.0,200.0,LYS,TT,50
Fe,29.0,217.0,LYS,TT,50
Fe,22.0,246.0,LYS,TT,50
Fe,18.0,261.0,LYS,TT,50
Fe,16.0,275.0,LYS,TT,50
Fe,14.0,272.0,LYS,TT,50
Fe,13.0,257.0,LYS,TT,50
Fe,11.0,269.0,LYS,TT,50
Fe,9.0,277.0,LYS,TT,50
Fe,8.0,292.0,LYS,TT,50
Fe,8.0,293.0,LYS,TT,50
Fe,254.0,88.0,LYS,TT,39
Fe,76.0,136.0,LYS,TT,39
Fe,46.0,145.0,LYS,TT,39
Fe,33.0,166.0,LYS,TT,39
Fe,18.0,163.0,LYS,TT,51
Fe,15.0,177.0,LYS,TT,51
Fe,12.0,185.0,LYS,TT,51
Fe,8.0,231.0,LYS,TT,51
Fe,7.0,231.0,LYS,TT,51
Fe,58.0,99.0,LYS,TT,52
Fe,42.0,108.0,LYS,TT,52
Fe,33.0,113.0,LYS,TT,52
Fe,22.0,140.0,LYS,TT,52
Fe,21.0,129.0,LYS,TT,52
Fe,5.4,134.0,0.002,TT,56
Fe,2.7,177.0,0.002,TT,56
Fe,1.5,232.0,0.002,TT,56
Fe,0.98,422.0,0.002,TT,56
Fe,0.86,498.0,0.002,TT,56
Fe,0.78,543.0,0.002,TT,56
Fe,0.71,592.0,0.002,TT,56
Fe,0.68,635.0,0.002,TT,56
Fe,0.44,720.0,0.002,TT,56
Fe,0.15,1392.0,-,VH,53
Fe,0.084,1583.0,-,VH,53
Fe,0.062,1760.0,-,VH,53
Fe,0.052,1911.0,-,VH,53
Fe,0.029,2122.0,-,VH,53
Fe,0.031,2220.0,-,VH,53
Fe,0.024,2365.0,-,VH,53
Fe,0.022,2489.0,-,VH,53
Fe,0.02,2608.0,-,VH,53
Fe,0.017,2811.0,-,VH,53
Fe,0.018,2877.0,-,VH,53
Fe,0.021,1176.0,-,VH,54
Fe,0.019,1067.0,-,VH,54
Fe,0.017,1079.0,-,VH,54
Fe,0.013,1260.0,-,VH,54
Fe,0.012,1253.0,-,VH,54
Fe,0.011,1310.0,-,VH,54
Fe,0.01,1224.0,-,VH,54
Fe,0.01,1186.0,-,VH,54
Fe,0.032,738.0,-,VH,54
Fe,0.03,956.0,-,VH,54
Fe,0.029,987.0,-,VH,54
Fe,0.026,1030.0,-,VH,54
Fe,0.019,1005.0,-,VH,54
Fe,0.016,1140.0,-,VH,54
Fe,0.011,1303.0,-,VH,54
W,7.4,1843.0,-,VH,68
W,7.0,1785.0,-,VH,68
W,6.9,1727.0,-,VH,68
W,0.52,2541.0,-,VH,68
W,0.4,2994.0,-,VH,68
W,0.37,2604.0,-,VH,68
W,0.21,3321.0,-,VH,68
W,0.18,3813.0,-,VH,68
W,0.17,4178.0,-,VH,68
W,1.0,1375.0,0.002,TT,67
W,0.92,1438.0,0.002,TT,67
W,0.67,1563.0,0.002,TT,67
W,0.61,1688.0,0.002,TT,67
W,0.57,1738.0,0.002,TT,67
W,0.45,1675.0,0.002,TT,67
W,0.45,1875.0,0.002,TT,67
W,0.39,1845.0,0.002,TT,67
W,0.39,2000.0,0.002,TT,67
W,0.28,2125.0,0.002,TT,67
V,735.0,328.0,LYS,TT,12
V,347.0,334.0,LYS,TT,12
V,22.0,395.0,LYS,TT,12
V,15.0,410.0,LYS,TT,12
V,0.69,356.0,0.002,TT,13
V,2.0,422.0,0.002,TT,14
V,1.95,443.0,0.002,TT,14
V,1.61,473.0,0.002,TT,14
V,1.56,510.0,0.002,TT,14
V,1.25,525.0,0.002,TT,14
V,1.19,532.0,0.002,TT,14
V,1.19,552.0,0.002,TT,14
V,1.26,555.0,0.002,TT,14
V,1.07,554.0,0.002,TT,14
V,1.07,531.0,0.002,TT,14
V,0.93,595.0,0.002,TT,14
V,0.59,713.0,0.002,TT,14
V,0.55,753.0,0.002,TT,14
V,0.56,749.0,0.002,TT,14
V,124.0,183.0,0.002,TT,15
V,25.0,211.0,0.002,TT,15
V,3.3,250.0,0.002,TT,15
V,1.7,279.0,0.002,TT,15
V,1.2,365.0,0.002,TT,15
V,1.0,382.0,0.002,TT,15
V,0.7,451.0,0.002,TT,15
V,0.5,508.0,0.002,TT,15
V,0.23,643.0,0.002,TT,15
V,0.14,769.0,0.002,TT,15
V,12.7,284.0,0.002,TT,16
V,15.1,268.0,0.002,TT,16
V,15.9,273.0,0.002,TT,16
V,16.1,272.0,0.002,TT,16
V,16.7,271.0,0.002,TT,16
V,17.5,234.0,0.002,TT,16
